id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
94,Bx39,20,11,13,15,21,34,32,43,42,41,43,37,39,52,56,62,89,68,62,51,35,26,19,14,89
95,Bx4,22,18,14,14,18,19,11,0,21,22,4,14,18,7,0,38,25,0,49,50,41,0,36,36,50
96,Bx40,8,5,5,6,7,14,17,21,25,31,17,29,29,18,29,44,44,26,29,31,16,26,7,28,44
97,Bx41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17
98,Bx41-SBS,0,0,0,0,0,7,29,41,45,45,50,39,57,51,54,52,70,73,57,46,46,29,15,0,73
99,Bx42,10,0,0,0,8,10,16,12,25,19,7,31,36,31,41,29,34,36,40,23,15,14,0,7,41
100,Bx46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Bx4A,0,0,0,0,0,0,0,10,3,0,26,10,11,9,12,3,34,37,40,36,27,34,0,0,40
102,Bx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Bx6,27,24,0,2,9,35,36,41,42,35,43,34,37,45,52,65,51,67,56,43,43,30,33,36,67
104,Bx6-SBS,0,0,0,0,0,18,48,49,39,37,40,43,44,56,50,58,73,71,60,61,47,45,25,0,73
105,Bx7,14,8,0,0,0,13,23,27,32,26,35,43,26,44,47,45,45,44,56,40,24,23,21,12,56
106,Bx8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Bx9,14,9,1,0,9,20,42,40,20,24,21,27,66,71,59,61,58,56,54,51,49,17,26,23,71
108,Bx99,1,49,51,44,34,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
109,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,BxM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,BxM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
