id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
141,Bx7,172,37,0,0,0,54,225,280,310,275,339,386,509,578,655,726,716,726,639,568,467,404,205,172,8443
142,B46,234,225,224,239,238,303,374,496,488,454,501,459,423,419,478,556,646,641,541,421,443,418,302,247,9770
143,Bx38,25,0,0,0,0,0,89,159,188,181,198,209,248,313,342,366,356,358,301,276,262,217,169,72,4329
144,Bx28,219,121,57,61,94,132,272,354,313,297,300,306,348,397,500,533,507,500,453,417,363,315,212,266,7337
145,B24,65,16,0,0,0,81,209,228,181,139,132,149,166,159,117,163,112,94,89,106,83,74,63,90,2516
146,B54,117,120,69,69,69,97,124,194,177,179,221,279,323,360,403,426,426,359,271,264,226,224,167,116,5280
147,Q54,272,226,165,143,147,316,456,476,438,406,434,452,520,532,582,753,732,722,631,536,485,446,340,224,10434
148,Bx29,113,50,6,0,1,42,77,88,88,97,112,108,152,172,204,199,183,176,135,105,122,129,106,105,2570
149,B25,105,79,75,53,53,72,103,138,183,257,302,284,343,320,326,412,402,381,397,314,269,174,119,127,5288
150,B83,92,29,0,0,14,43,121,170,157,176,213,257,230,235,296,272,234,178,159,154,136,113,100,102,3481
151,Q56,137,92,64,72,137,210,225,264,260,256,224,222,196,171,247,335,324,379,234,155,164,166,138,84,4756
152,B47,143,113,96,91,145,253,351,383,384,453,478,583,643,609,654,755,655,682,576,466,373,252,124,121,9383
153,B20,171,73,3,0,0,15,105,301,268,241,273,297,266,208,310,329,329,352,260,270,307,241,165,156,4940
154,B49,169,103,20,0,10,71,119,206,237,236,242,186,258,223,243,282,302,324,299,289,211,150,166,144,4490
155,Q27,184,143,96,99,124,279,562,747,675,668,713,779,855,778,703,747,907,1037,975,906,804,572,339,200,13892
156,B62,120,99,71,66,67,92,258,299,278,350,379,401,411,381,445,577,522,529,491,470,322,243,215,159,7245
157,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,B42,34,19,6,10,22,41,65,99,82,45,49,54,43,30,19,24,26,33,35,36,44,16,13,14,859
159,B6,639,305,140,136,235,588,933,1422,1391,1312,1345,1424,1491,1541,1767,2022,1974,1872,1724,1656,1471,1130,768,560,27846
160,B3,185,141,56,28,71,193,371,510,450,406,470,510,575,631,731,828,808,772,658,591,473,328,232,199,10217
