id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
224,S56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,S46,803,869,815,321,433,810,1488,2294,1734,1734,2030,2639,2047,2543,2728,3060,3358,3223,4085,2195,1657,1004,1171,902,43943
227,S42,17,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
228,S54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,S92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,S59,583,136,0,0,0,532,1933,2185,2158,1270,1216,1306,1542,1712,1990,3214,2946,3809,2667,2003,1643,1154,1079,775,35853
231,S89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,S61,120,0,0,0,0,0,495,1262,1496,1400,1481,1642,1941,2140,2292,2860,2443,2228,2335,1585,1436,636,280,71,28143
233,S62,408,542,349,164,305,777,1617,2089,1781,1024,1014,724,1031,1102,1636,1705,1527,1494,888,1199,571,559,625,323,23454
234,Bx24,24,0,0,0,0,11,73,123,307,212,161,229,154,246,304,314,309,349,145,179,178,190,193,84,3785
235,Q84,447,229,0,0,0,19,613,1450,1534,1187,1179,1436,1301,1475,1670,1615,1467,1737,1103,986,922,702,313,213,21598
236,Bx18,0,0,0,0,0,0,0,188,400,332,389,553,560,594,587,424,493,522,353,248,136,137,2,0,5918
237,S79-SBS,885,20,0,0,17,1316,6227,11287,10395,9284,10524,9997,10509,11671,13510,14414,16785,16039,14099,10373,8233,5361,3497,2414,186857
238,S57,0,0,0,0,0,0,46,689,495,523,538,591,292,499,634,832,1043,1132,707,467,568,438,167,56,9717
239,Q34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Q66,543,906,985,778,891,1076,1346,2959,2158,1948,3093,3417,4448,4775,5422,5342,5149,4933,3312,2983,1799,1073,810,300,60446
241,Q23,652,256,0,0,32,326,617,978,1234,861,1064,1371,1719,1631,1491,2534,2620,3255,3030,2611,1878,1234,1195,1441,32030
242,Q25,683,256,118,103,171,848,2104,3205,2514,1699,1910,1857,2621,2117,4170,6177,4601,4671,2849,2872,3027,1402,1080,999,52054
243,Q65,291,365,174,152,334,729,2441,2773,3318,3264,2694,2628,3203,2916,4097,4904,3819,2949,2459,1355,1573,1695,1294,883,50310
244,Q19,0,0,0,0,0,0,0,0,0,78,106,129,149,0,222,1501,1335,869,475,518,432,53,0,0,5867
245,BM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,BM2,62,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,161
247,BM5,0,0,0,0,0,0,0,0,31,14,0,0,76,31,23,2,0,0,42,4,0,0,0,0,223
248,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,QM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,QM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,QM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,QM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,QM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,QM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,QM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,QM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,QM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,QM32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,QM36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,QM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,BxM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,QM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,QM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,BM4,0,0,0,0,0,0,4,78,1,0,0,24,2,0,1,1,0,0,0,0,0,0,0,0,111
270,QM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,QM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,BxM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,27,0,0,0,0,0,0,0,99
274,QM16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,QM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,BxM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,QM34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,BxM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,QM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BM1,7,0,0,0,0,0,154,20,4,12,4,0,0,0,0,0,134,60,0,0,0,0,0,0,395
281,QM21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,QM31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,QM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Q6,243,0,0,0,0,0,0,0,0,0,0,0,114,249,236,148,162,37,0,0,0,0,84,256,1529
287,Q37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Q7,0,0,0,0,0,0,125,148,0,0,0,0,0,0,0,0,0,0,0,0,0,6,248,127,654
289,Q10,857,781,1025,775,1789,2701,4335,4213,3748,3920,2960,3485,4011,4506,3831,2362,2096,2640,1912,2070,1239,1302,692,478,57728
290,Q111,285,0,0,0,0,0,143,240,312,0,91,235,349,380,391,406,510,256,87,170,201,18,0,0,4074
291,Q113,0,0,0,0,0,0,0,0,0,116,3,0,0,0,69,0,0,0,0,0,0,72,0,0,260
292,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Q60,230,562,1010,1077,986,318,186,136,153,234,155,203,1,471,288,595,108,116,178,116,342,217,95,139,7916
