id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
292,Q21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Q64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,Q110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Q60,10.3333,8.31609,8.88589,9.86175,12.6575,6.78652,6.92683,8.0,8.90323,9.52239,6.86441,12.1818,13.86,20.283,16.5577,20.7344,11.9048,8.32143,12.6053,6.72727,11.3148,8.21053,5.16667,6.93103,10.4456
296,Q35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Q69,2.93636,2.13725,0.0,0.0,0.0,3.81013,5.05677,6.96178,7.95802,5.21834,5.63187,5.18795,5.73029,6.17363,7.63962,7.65321,8.92041,7.29121,6.49223,5.97236,5.27622,3.96954,4.61151,4.18421,6.36283
298,Q33,5.328,4.23232,2.52055,2.52381,8.4902,13.5337,11.4911,12.5364,9.94706,9.20468,9.29947,7.98261,8.44583,11.4922,12.8796,14.2454,12.8333,13.3623,11.3303,9.15746,8.37821,5.30218,5.92727,6.59859,9.95404
299,Q40,9.16667,3.07692,5.16667,0.0,0.0,0.0,0.0,0.0,16.875,5.33333,0.0,0.0,0.0,0.0,0.0,0.0,5.75,17.75,12.6667,0.0,0.0,0.0,8.5,2.6,8.20833
300,Q39,3.79747,2.37069,3.06716,2.8963,5.19231,7.85333,9.46196,6.94796,7.15541,5.64777,4.76589,4.55828,6.37662,7.09821,7.41005,7.19111,7.04835,8.45585,5.80918,5.72063,6.64906,4.97189,5.6,4.85057,6.34685
301,Q102,4.38816,3.66327,1.59649,2.0,2.92771,4.46032,3.5188,5.06011,4.48454,4.06832,4.31579,4.21101,4.43478,7.02778,6.4717,6.32773,5.82511,5.52439,6.07692,3.65138,4.12385,3.42135,4.34188,4.56132,4.53875
302,Q29,1.2,1.0,0.0,0.0,1.78261,5.02542,7.16975,7.85382,6.76585,7.25481,8.47541,10.5397,11.5118,15.1441,11.2578,12.1328,12.1563,11.5118,9.83502,9.42021,6.46099,4.4,5.88235,3.52632,9.46138
303,Q49,5.83333,2.66667,2.0,0.0,8.16,15.7905,14.9899,13.8373,12.1055,11.4731,9.61611,9.05333,10.4158,11.9795,11.7976,13.1783,11.5656,12.6069,10.0188,8.66923,8.12977,7.47436,9.05208,11.1951,11.198
304,Q67,0.0,0.0,0.0,2.07143,3.45238,5.30282,9.0,9.6439,6.92222,5.24837,6.42222,4.52419,4.89899,5.67949,6.83333,9.04878,11.5988,10.3391,8.09434,3.06383,3.56164,4.92045,5.62791,6.18182,7.13858
305,Q100,3.6875,3.0,2.45455,2.45714,1.82353,3.31683,6.99065,8.51231,6.85246,4.47239,4.10577,4.22118,4.29682,5.6861,5.85855,5.53889,6.42636,5.92033,4.56014,5.79757,3.70886,4.4712,4.68212,3.91304,5.26248
306,Q104,0.0,0.0,0.0,0.0,0.0,0.0,3.9771,4.47977,4.40517,4.61983,5.7973,7.53472,8.49375,12.8398,10.1728,10.5145,12.7895,11.274,8.25,5.26136,4.17021,2.23913,3.47368,2.03333,7.43275
307,Q11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Q18,3.69231,4.32609,2.07143,0.0,2.48077,6.12969,9.5814,10.25,9.79592,7.45038,10.0886,10.5319,10.7781,12.7509,11.797,14.0417,13.3584,14.0738,10.2812,9.49684,8.63469,7.18386,6.27222,4.90756,10.1133
309,Bx23,0.0,0.0,0.0,0.0,0.0,4.46154,5.78378,5.34783,4.66667,4.66667,4.13333,10.0,8.09091,6.85714,8.60976,8.16364,6.35417,6.125,6.32,3.0625,3.38462,4.25,4.75,4.2,6.04274
310,Q50,3.72727,7.3,2.0,0.0,3.6,13.6667,17.2,19.2571,14.2308,10.5714,17.125,9.625,9.78261,12.5,13.6087,10.2623,20.5818,13.1607,17.2745,14.0676,10.1591,11.3,6.71429,4.0,13.4953
311,Q103,0.0,0.0,0.0,0.0,0.0,5.88889,7.21951,8.52308,5.94915,5.11111,1.0,2.93548,4.20408,3.83544,5.94776,6.43871,6.7686,6.03125,4.48113,3.92708,3.09375,2.34146,0.0,0.0,5.39417
312,Q72,2.75949,2.55102,0.0,0.0,4.47573,7.1087,9.63091,10.6873,8.72085,8.42182,12.4412,13.4202,15.204,15.9317,17.0459,16.7012,19.0669,20.1406,15.2566,11.9268,9.72866,7.51282,5.7381,4.99394,12.3036
313,Q9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.9333,10.6364,7.375,3.0,15.5455,7.0,0.0,11.2174
314,B100,2.14286,2.3,0.0,0.0,0.0,8.4186,5.41923,7.12546,8.64889,8.98316,6.53909,5.57806,5.55848,7.37827,9.90196,6.98537,8.23574,9.34511,5.92542,6.45455,5.41494,3.02521,2.77632,3.15385,7.12877
315,B103,9.81373,7.57895,6.55,0.0,1.0,14.1966,8.22296,10.9198,11.9077,10.0581,11.3179,9.91248,11.3745,12.8353,14.1516,12.9931,13.0903,14.6801,13.4983,11.5759,11.2979,10.5831,9.28008,7.92327,11.9163
316,Q52-SBS,6.52133,3.73077,0.0,0.0,0.0,14.8333,17.531,14.9812,15.8757,11.9247,12.1479,12.1401,12.6962,16.6961,18.8546,18.5039,19.7571,18.9349,16.1664,12.003,10.4191,9.34206,10.1055,6.97368,14.9513
317,Q114,0.0,11.36,6.17391,5.88889,5.27586,22.4444,8.0,0.0,23.8333,13.0385,11.8611,14.093,11.1636,19.5522,20.2955,15.2308,15.8696,24.0769,17.6628,16.8082,16.7969,7.65385,14.4167,0.0,16.0117
318,Q38,1.91453,0.0,0.0,0.0,0.0,6.23913,6.29323,8.73143,7.0,6.77946,6.77926,6.90526,7.66667,9.48082,9.84289,9.0719,9.34062,9.61188,7.64156,6.19283,5.28384,4.6931,3.92647,3.15179,7.48978
