id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
218,Q83,309,235,195,179,236,508,781,854,674,618,447,521,638,632,700,910,1022,822,804,747,772,719,587,349,14259
219,S91,0,0,0,0,0,0,117,293,181,1,0,0,0,0,0,0,74,267,302,252,10,0,0,0,1497
220,S94,0,0,0,0,0,0,133,187,55,0,0,0,0,0,0,14,143,209,260,88,1,55,44,0,1189
221,S44,185,3,0,0,57,289,649,685,838,932,885,915,941,1089,1292,1494,1325,921,980,960,850,598,486,427,16801
222,S78,567,445,444,329,519,758,1211,1787,1360,1340,1287,1319,1372,1668,1957,2175,1832,1642,1540,1225,872,708,782,668,27807
223,S74,485,352,285,288,429,812,1150,1374,1252,1246,1092,1139,1184,1300,1485,1605,1418,1115,1222,1231,900,710,694,637,23405
224,S56,0,0,0,0,0,0,74,172,168,179,144,116,178,181,303,267,216,126,108,40,0,0,0,0,2272
225,S84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,213,188,210,15,8,166,32,0,896
226,S46,394,340,338,318,389,438,576,696,618,658,777,753,761,786,896,939,988,924,985,776,508,375,340,321,14894
227,S42,19,28,0,0,0,26,38,46,31,8,2,0,0,5,26,10,73,41,73,84,28,44,44,26,652
228,S54,0,0,0,0,0,1,153,188,101,56,127,159,198,190,283,362,305,203,157,106,150,146,73,0,2958
229,S92,0,0,0,0,0,3,149,177,188,3,0,0,0,0,0,0,53,199,229,56,0,0,0,0,1057
230,S59,345,158,0,0,45,408,869,897,828,754,645,662,700,750,1076,1375,1236,1061,1108,824,641,556,495,425,15858
231,S89,0,0,0,0,0,76,163,306,189,98,12,0,0,0,0,18,208,314,325,79,22,0,0,0,1810
232,S61,75,0,0,0,17,171,349,434,565,785,747,781,882,919,1045,1274,1027,698,714,554,565,427,327,181,12537
233,S62,211,276,232,199,265,423,435,592,552,645,680,666,734,746,813,928,846,601,645,602,460,357,356,291,12555
234,Bx24,24,7,4,8,9,24,118,150,230,211,248,290,223,298,382,429,383,350,225,255,181,193,172,88,4502
235,Q84,273,156,0,0,46,145,503,835,803,756,607,578,649,724,790,959,925,850,943,847,642,450,409,294,13184
236,Bx18,0,0,0,0,0,1,104,269,299,280,240,200,214,300,315,408,427,326,397,369,249,181,119,0,4698
237,S79-SBS,338,10,0,0,163,951,2742,3329,2863,2736,2257,2154,2240,2349,2821,3457,3829,3461,3185,2594,2113,1536,1298,905,47331
238,S57,1,0,0,0,0,0,119,482,441,432,328,345,318,351,468,618,596,554,544,512,473,343,234,87,7246
239,Q34,0,0,0,0,0,82,145,247,213,286,316,371,387,392,347,564,271,198,312,350,268,205,71,1,5026
240,Q66,236,242,248,281,279,363,505,731,625,532,539,686,732,804,1049,1128,1123,946,931,978,840,610,445,304,15157
241,Q23,328,158,1,0,32,191,384,556,621,660,683,684,651,693,784,843,956,907,1045,922,710,504,459,385,13157
242,Q25,253,125,85,67,156,464,774,999,969,1170,817,659,725,596,896,1725,1960,1637,1410,956,824,586,471,336,18660
243,Q65,181,187,172,166,283,324,591,945,1049,1097,736,717,776,927,1054,1162,1312,1080,1170,887,774,603,577,336,17106
244,Q19,0,0,0,0,0,14,132,185,124,160,215,234,239,241,225,297,315,298,355,244,162,44,0,0,3484
245,BM3,9,0,0,0,0,18,31,25,58,18,30,0,0,4,10,0,1,13,27,20,6,0,0,3,273
246,BM2,11,12,0,0,0,0,0,0,0,0,0,0,14,36,12,21,48,35,70,31,13,13,11,0,327
247,BM5,5,0,0,0,0,24,139,17,37,65,7,19,21,10,17,16,4,8,43,22,2,0,11,6,473
248,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,2,0,0,0,0,23
249,QM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,QM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,QM12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,QM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,QM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,QM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,QM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,QM42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,QM8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,QM32,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
259,QM36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,QM7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,BxM3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,QM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,QM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,BM4,0,0,0,0,0,0,80,53,25,14,4,8,23,12,12,26,38,22,52,35,0,0,0,0,404
270,QM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,QM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
