,Time,Borough,Passenger Count
674,8:0,Bronx,1378
675,8:0,Queens,2140
676,8:0,Manhattan,298
677,8:0,Staten Island,473
678,8:0,Other,608
679,8:4,Total,8683
680,8:4,Brooklyn,3761
681,8:4,Bronx,1467
682,8:4,Queens,2104
683,8:4,Manhattan,257
684,8:4,Staten Island,474
685,8:4,Other,620
686,8:9,Total,8897
687,8:9,Brooklyn,3820
688,8:9,Bronx,1647
689,8:9,Queens,2120
690,8:9,Manhattan,271
691,8:9,Staten Island,489
692,8:9,Other,550
693,8:15,Total,9587
694,8:15,Brooklyn,4196
695,8:15,Bronx,1874
696,8:15,Queens,2166
697,8:15,Manhattan,329
698,8:15,Staten Island,497
699,8:15,Other,525
700,8:19,Total,9618
701,8:19,Brooklyn,4316
702,8:19,Bronx,1876
703,8:19,Queens,2071
704,8:19,Manhattan,325
705,8:19,Staten Island,504
706,8:19,Other,526
707,8:24,Total,9746
708,8:24,Brooklyn,4430
709,8:24,Bronx,1972
710,8:24,Queens,2028
711,8:24,Manhattan,347
712,8:24,Staten Island,508
713,8:24,Other,461
714,8:30,Total,9670
715,8:30,Brooklyn,4478
716,8:30,Bronx,1958
717,8:30,Queens,1946
718,8:30,Manhattan,322
719,8:30,Staten Island,510
720,8:30,Other,456
721,8:35,Total,9871
722,8:35,Brooklyn,4529
723,8:35,Bronx,1947
724,8:35,Queens,2040
725,8:35,Manhattan,366
726,8:35,Staten Island,500
727,8:35,Other,489
728,8:40,Total,9824
729,8:40,Brooklyn,4572
730,8:40,Bronx,1957
731,8:40,Queens,2050
732,8:40,Manhattan,331
733,8:40,Staten Island,514
734,8:40,Other,400
735,8:45,Total,9338
736,8:45,Brooklyn,4331
737,8:45,Bronx,1832
738,8:45,Queens,2009
739,8:45,Manhattan,299
740,8:45,Staten Island,490
741,8:45,Other,377
742,8:49,Total,8859
743,8:49,Brooklyn,4059
744,8:49,Bronx,1716
745,8:49,Queens,2037
746,8:49,Manhattan,301
747,8:49,Staten Island,416
748,8:49,Other,330
749,8:54,Total,8414
750,8:54,Brooklyn,3784
751,8:54,Bronx,1580
752,8:54,Queens,1986
753,8:54,Manhattan,314
754,8:54,Staten Island,400
755,8:54,Other,350
756,8:59,Total,7913
757,8:59,Brooklyn,3557
758,8:59,Bronx,1421
759,8:59,Queens,1860
760,8:59,Manhattan,311
761,8:59,Staten Island,392
762,8:59,Other,372
763,9:5,Total,7585
764,9:5,Brooklyn,3356
765,9:5,Bronx,1442
766,9:5,Queens,1824
767,9:5,Manhattan,257
768,9:5,Staten Island,406
769,9:5,Other,300
770,9:10,Total,7106
771,9:10,Brooklyn,3171
772,9:10,Bronx,1403
773,9:10,Queens,1691
774,9:10,Manhattan,225
775,9:10,Staten Island,362
776,9:10,Other,254
777,9:14,Total,6869
778,9:14,Brooklyn,3035
779,9:14,Bronx,1306
780,9:14,Queens,1660
781,9:14,Manhattan,270
782,9:14,Staten Island,362
783,9:14,Other,236
784,9:19,Total,6737
785,9:19,Brooklyn,3030
786,9:19,Bronx,1251
787,9:19,Queens,1660
788,9:19,Manhattan,272
789,9:19,Staten Island,328
790,9:19,Other,196
791,9:24,Total,6949
792,9:24,Brooklyn,3143
793,9:24,Bronx,1297
794,9:24,Queens,1712
795,9:24,Manhattan,267
796,9:24,Staten Island,321
797,9:24,Other,209
798,9:29,Total,6848
799,9:29,Brooklyn,3134
800,9:29,Bronx,1318
801,9:29,Queens,1586
802,9:29,Manhattan,286
803,9:29,Staten Island,338
804,9:29,Other,186
805,9:34,Total,6702
806,9:34,Brooklyn,3011
807,9:34,Bronx,1360
808,9:34,Queens,1522
809,9:34,Manhattan,271
810,9:34,Staten Island,337
811,9:34,Other,201
812,9:40,Total,6749
813,9:40,Brooklyn,3010
814,9:40,Bronx,1381
815,9:40,Queens,1543
816,9:40,Manhattan,262
817,9:40,Staten Island,390
818,9:40,Other,163
819,9:44,Total,6555
820,9:44,Brooklyn,2875
821,9:44,Bronx,1362
822,9:44,Queens,1508
823,9:44,Manhattan,275
824,9:44,Staten Island,368
825,9:44,Other,167
826,9:49,Total,6300
827,9:49,Brooklyn,2942
828,9:49,Bronx,1311
829,9:49,Queens,1316
830,9:49,Manhattan,214
831,9:49,Staten Island,365
832,9:49,Other,152
833,9:55,Total,5991
834,9:55,Brooklyn,2803
835,9:55,Bronx,1187
836,9:55,Queens,1302
837,9:55,Manhattan,236
838,9:55,Staten Island,299
839,9:55,Other,164
