id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
291,Q113,0,0,0,0,0,0,58,78,0,116,3,0,177,357,168,962,907,685,893,779,13,72,0,0,5268
292,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Q64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Q60,248,1447,2959,4280,4620,1208,284,136,276,638,405,938,693,1075,861,1327,500,233,479,222,611,312,124,201,24077
296,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Q69,323,109,0,0,0,301,1158,2186,3223,2390,2050,2153,2762,2809,4049,4171,5156,3981,3759,2377,1509,782,641,636,46525
298,Q33,666,419,184,106,866,2612,2574,2758,1691,1574,1739,1836,2027,1471,2460,4644,5775,5532,5008,3315,2614,1702,1630,937,54140
299,Q40,55,40,31,0,0,0,0,0,135,80,0,0,0,0,0,0,23,142,38,0,0,0,34,13,591
300,Q39,600,275,411,391,540,1178,3482,3071,3177,1395,1425,1486,1964,2385,2801,3236,3207,3543,2405,1802,1762,1238,1372,844,43990
301,Q102,667,359,91,142,243,281,468,926,870,655,492,459,306,253,343,753,1299,1359,1501,796,899,609,1016,967,15754
302,Q29,30,2,0,0,82,1186,2323,2364,1387,1509,1551,2656,2924,3362,2882,4659,4899,3914,2921,1771,911,330,400,201,42264
303,Q49,175,16,6,0,204,2337,2968,3487,2869,2134,2029,2037,1979,2923,2914,4138,4233,4009,3196,2254,2130,1166,869,459,48532
304,Q67,0,0,0,29,435,753,2565,1977,1246,803,578,561,485,443,779,1484,1995,1799,1716,288,260,433,484,204,19317
305,Q100,59,18,27,86,31,335,748,1728,1254,729,1281,1355,1216,1268,1781,1994,2487,2155,1327,1432,586,854,707,360,23818
306,Q104,0,0,0,0,0,0,521,775,511,559,858,1085,1359,2324,1648,1451,1458,823,231,463,392,103,132,61,14754
307,Q11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Q18,288,199,29,0,129,1796,3296,4059,3360,1952,2734,3465,3934,3634,2383,4718,5851,5911,4205,3001,2340,1602,1129,584,60599
309,Bx23,0,0,0,0,0,58,214,369,154,56,62,20,89,144,353,449,305,196,158,49,44,68,19,21,2828
310,Q50,41,73,4,0,18,82,516,674,740,296,274,77,225,600,939,626,1132,737,881,1041,447,452,94,4,9973
