id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
136,Bx20,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.41739,3.57647,4.55556,0.0,0.0,0.0,0.0,0.0,4.25333,4.32028,4.15385,3.28523,2.77596,2.6875,0.0,0.0,0.0,3.70174
137,Bx13,6.16832,4.375,0.0,0.0,1.5,8.35319,7.49756,8.67919,8.90471,9.76523,12.3927,15.2993,14.8047,18.6167,18.0701,16.1878,16.0888,16.1575,13.0568,12.1046,8.18821,6.64214,6.959,5.64505,12.5939
138,M100,6.02091,3.39785,0.0,0.0,3.15385,4.01333,4.76969,6.77284,8.20526,7.56061,9.62945,11.668,12.0139,12.8812,13.0311,12.8,13.7563,12.5084,10.5855,9.70485,7.64065,5.38366,4.93226,4.15904,10.3759
139,Bx3,6.26172,3.39241,0.0,0.0,0.0,7.19598,10.258,10.2841,11.3354,9.16157,12.3775,13.2557,13.1526,13.9661,16.7856,16.445,18.8286,16.8706,14.6063,11.3376,9.90841,8.16204,8.46488,8.18378,12.9529
140,Bx10,4.37156,2.74468,1.21429,1.09091,2.97436,4.95942,9.46766,10.1468,8.38278,8.02381,8.60942,10.4246,9.40296,10.8018,10.6792,10.6116,11.4365,10.7925,8.56454,6.65938,6.33448,5.1831,6.00207,5.64308,9.05925
141,Bx7,3.97175,2.38462,0.0,0.0,1.44444,4.96199,7.294,9.23821,8.97207,8.99633,11.5181,13.2779,13.9418,14.2888,14.5168,14.933,13.1673,12.2214,8.98914,7.07583,5.92294,5.31459,4.46777,4.24883,10.4484
142,B46,9.62609,4.67519,4.75071,5.87781,9.11746,10.0339,9.5274,9.14522,10.0219,10.4132,10.7736,11.7553,11.8491,12.1294,13.5196,12.8941,15.6686,13.6746,11.3591,8.63785,7.94813,6.56502,7.40196,9.35634,10.5342
143,Bx38,0.0,0.0,0.0,0.0,0.0,7.30769,7.08824,8.63652,10.2034,8.96121,9.08159,8.71103,9.0746,10.1265,12.9495,12.1462,12.8077,12.4731,10.1293,7.59038,8.09833,5.65394,5.24561,3.44444,10.0695
144,Bx28,5.13393,3.2514,3.27869,2.63964,4.96296,8.27089,7.6835,7.36671,8.60164,6.98324,8.56579,9.80585,11.2834,10.5501,11.5278,11.2974,11.6352,12.1199,9.70386,7.41583,6.14286,5.3617,5.69191,6.39934,8.99694
145,B24,2.88298,2.72,0.0,0.0,0.0,6.87671,7.45532,8.1579,7.41667,6.17197,5.17051,4.0604,4.91018,6.47619,6.53955,7.71605,9.46198,8.60543,6.74297,4.83188,3.72426,3.62842,4.625,4.06918,6.47647
